position,scene,AE,MSE,PSNR,SSIM,LPIPS,FID,PSNR_2,SSIM_2
Position0,NIR,2.9357225895,0.0298721418,15.2473363876,0.6736717224,0.2910808325,7.72182829678059E-06,16.5705471039,0.7573177218
Position0,NIR,2.9421412945,0.0299773924,15.2320623398,0.6728976965,0.2896567881,9.05571505427361E-06,16.5552215576,0.7550928593
Position0,NIR,2.93161273,0.0299029332,15.2428627014,0.6742888093,0.2913514376,1.68848782777786E-06,16.5631046295,0.757311523
Position0,NIR,2.9452855587,0.0299172252,15.2407875061,0.6724130511,0.2904139161,1.97398476302624E-05,16.5605392456,0.7561027408
Position0,NIR,2.9511783123,0.0303078555,15.1844491959,0.6713251472,0.2932704091,2.18311324715614E-05,16.5064430237,0.7540965676
Position0,NIR,2.9504926205,0.0297642667,15.263048172,0.6723970771,0.2905309796,1.30385160446167E-06,16.5877952576,0.7560186386
Position0,NIR,2.9605691433,0.0291980729,15.3464584351,0.6749489307,0.2941507697,1.71042047441006E-05,16.6715698242,0.7572906017
Position0,NIR,2.9545617104,0.0300262924,15.2249832153,0.6739132404,0.2955702841,1.54017470777035E-06,16.5521068573,0.7566403747
Position0,NIR,2.948618412,0.0295278337,15.2976846695,0.6747003794,0.2900725603,2.57743522524834E-07,16.6226177216,0.7560012937
Position0,NIR,2.9501235485,0.0294054989,15.3157148361,0.675534308,0.2909819782,2.01212242245674E-06,16.640832901,0.7550312877
Position0,NIR,2.94348979,0.0298810173,15.24604702,0.6726415753,0.2912688553,3.32319177687168E-06,16.5706615448,0.753911972
Position0,NIR,2.9321095943,0.0293191709,15.3284835815,0.6737564802,0.2891713381,1.82073563337326E-07,16.6509876251,0.7537757158
Position0,NIR,2.9246094227,0.0304506812,15.1640310287,0.672963202,0.2899942398,2.22609378397465E-06,16.4849185944,0.7549775839
Position0,NIR,2.9428203106,0.0300495867,15.2216157913,0.6715780497,0.2903925478,4.2296014726162E-06,16.5489940643,0.7535226345
Position0,NIR,2.9067306519,0.0297120772,15.2706708908,0.6742929816,0.287516892,6.90808519721031E-06,16.5898170471,0.7560921311
Position0,NIR,2.9201476574,0.0305715166,15.1468315125,0.6739631295,0.288251698,3.56161035597324E-06,16.4665431976,0.7544432878
Position0,NIR,2.9036448002,0.0295213275,15.2986421585,0.6746785641,0.2865922451,0.000005502,16.6199836731,0.7561966777
Position0,NIR,2.8804726601,0.0292969104,15.331782341,0.6746197939,0.2861719429,1.81195791810751E-05,16.6517524719,0.7546844482
Position0,NIR,2.9007508755,0.029718738,15.2696971893,0.6727980375,0.2880547941,5.21750189363956E-06,16.5903091431,0.7555965781
Position0,NIR,2.8986804485,0.0301780403,15.2030897141,0.6700430512,0.294457078,2.23377719521523E-06,16.5270881653,0.7522402406
Position0,NIR,2.8887970448,0.0299737938,15.232583046,0.6713942289,0.2874521017,4.202825948596E-06,16.548828125,0.755672276
Position0,NIR,2.9056568146,0.0296395831,15.2812786102,0.6725655794,0.2845060527,2.34227627515793E-07,16.6033096313,0.7543421984
Position0,NIR,2.9239187241,0.0301631559,15.2052326202,0.6694074273,0.2879779339,1.06077641248703E-05,16.525182724,0.7537900805
Position0,NIR,2.9016494751,0.0296908785,15.2737703323,0.6707145572,0.2852992415,4.00375574827194E-06,16.5866737366,0.7563226223
Position0,NIR,2.9133090973,0.0299504735,15.2359638214,0.6680241823,0.2904472351,9.8764430731535E-06,16.5547332764,0.7532897592
Position0,NIR,2.917368412,0.0300650075,15.2193870544,0.6689620614,0.2899866104,4.50294464826584E-05,16.5395774841,0.753832221
Position0,NIR,2.9101293087,0.0292278603,15.3420295715,0.6696295142,0.2863048911,2.14553438127041E-06,16.6563816071,0.7550239563
Position0,NIR,2.92724967,0.0294684526,15.306427002,0.6701926589,0.2884421945,6.02377112954855E-05,16.6324901581,0.7527397871
Position0,NIR,2.9235134125,0.0297146682,15.2702913284,0.6695132852,0.2899795175,0.00000856,16.5903930664,0.7547934651
Position0,NIR,2.9182949066,0.0288829133,15.3935909271,0.6709834933,0.2867440283,4.31747175753117E-05,16.7104358673,0.7568955421
Position0,NIR,2.9328274727,0.0296319183,15.2824029922,0.6710830927,0.2883829772,1.26315280795097E-05,16.6023597717,0.7566125393
Position0,NIR,2.9539437294,0.0303805992,15.1740369797,0.6675478816,0.289026022,3.03813721984625E-05,16.4951934814,0.7545157075
Position0,NIR,2.9185452461,0.0301970337,15.2003574371,0.6708719134,0.2851542234,6.45755790174007E-06,16.5107040405,0.7560383677
Position0,NIR,2.9313838482,0.0300980881,15.2146110535,0.6684772372,0.2890897095,1.84257514774799E-05,16.5352935791,0.7539733052
Position0,NIR,2.9404509068,0.0304132402,15.1693735123,0.6650326848,0.2896954715,3.87504696846008E-05,16.4900112152,0.7513236403
Position0,NIR,2.939406395,0.0297744516,15.2615633011,0.6680839658,0.2857306302,3.53646464645863E-06,16.5759315491,0.7545081973
Position0,NIR,2.963116169,0.0300560761,15.2206783295,0.6669166088,0.2905552387,7.66245648264885E-07,16.5425834656,0.7525631189
Position0,NIR,2.9512615204,0.0299420431,15.2371864319,0.6674697399,0.2898646593,2.94530764222145E-07,16.5581951141,0.7514091134
Position0,NIR,2.9287190437,0.0291644838,15.3514575958,0.6690100431,0.2904855609,1.65472738444805E-06,16.6673698425,0.7533364892
Position0,NIR,2.9225046635,0.029094331,15.3619174957,0.6713392138,0.2905564308,0.000002641,16.6883296967,0.7539287806
Position0,NIR,2.9156837463,0.0289145522,15.388835907,0.6723067164,0.2948949933,4.95323911309242E-06,16.715883255,0.7545234561
Position0,NIR,2.9035556316,0.029061038,15.3668880463,0.6719963551,0.2879993916,1.55041925609112E-06,16.6816444397,0.7551556826
Position0,NIR,2.9265270233,0.0294133592,15.3145542145,0.6706469059,0.2907835543,1.35763548314571E-06,16.638874054,0.7533416748
Position0,NIR,2.9369156361,0.0292765498,15.3348016739,0.6714499593,0.2931652069,4.65940684080124E-06,16.6580581665,0.7539749742
Position0,NIR,2.9212300777,0.0294758081,15.3053426743,0.6708040833,0.287240237,0.00000042,16.6236820221,0.7543889284
Position0,NIR,2.935324192,0.0295277964,15.2976903915,0.6714786887,0.2893370092,4.21633012592793E-05,16.6272888184,0.7523525357
Position0,NIR,2.9189040661,0.0287399683,15.4151382446,0.673070848,0.2893972993,3.88547778129578E-06,16.7405166626,0.753623426
Position0,NIR,2.9177629948,0.0290078633,15.3748426437,0.6740047336,0.2854071856,3.42074781656265E-06,16.6889038086,0.7572101951
Position0,NIR,2.9383435249,0.0298127346,15.2559833527,0.6706706882,0.2932443023,2.0079780369997E-05,16.5751056671,0.7539935708
Position0,NIR,2.9479224682,0.0296675116,15.2771892548,0.6695270538,0.291518271,4.83356416225433E-07,16.5992488861,0.7544236779
Position0,NIR,2.9392445087,0.0295809433,15.2898797989,0.6710162759,0.2893372178,0.000003909,16.598690033,0.7581287026
Position0,NIR,2.9588794708,0.0304760393,15.1604156494,0.6662826538,0.2961878181,3.38652171194553E-06,16.4774627686,0.7531815767
Position0,NIR,2.9301297665,0.030187726,15.2016973495,0.6677378416,0.2947522402,7.97468237578869E-06,16.5131721497,0.7542601824
Position0,NIR,2.9277360439,0.0299620572,15.2342844009,0.6689784527,0.2908801138,1.35495793074369E-05,16.5402507782,0.7576710582
Position0,NIR,2.9588036537,0.0297239274,15.2689380646,0.6687601209,0.2951656282,0.000033614,16.58436203,0.7554298043
Position0,NIR,2.9512786865,0.0303094964,15.1842126846,0.6679749489,0.2947304249,1.40897464007139E-05,16.4980354309,0.754827559
Position0,NIR,2.958783865,0.0297261961,15.2686071396,0.6686608791,0.291066587,3.84356826543808E-06,16.5767402649,0.7583191991
Position0,NIR,2.9489107132,0.0308069196,15.1135177612,0.6675447822,0.3003510237,4.1094608604908E-07,16.4267292023,0.7559673786
Position0,NIR,2.9486484528,0.030725386,15.1250267029,0.6671332717,0.297370851,6.70268200337887E-05,16.431596756,0.7567833662
Position0,NIR,2.9484021664,0.0300760921,15.2177867889,0.6697383523,0.2912401259,1.37230381369591E-06,16.5231380463,0.7592659593
Position0,NIR,2.9293243885,0.0294167828,15.3140497208,0.672254324,0.2981552482,1.82106159627438E-05,16.6280822754,0.7592439651
Position0,NIR,2.9405283928,0.0298121739,15.2560634613,0.6726267934,0.2990131378,3.58792021870613E-07,16.5689373016,0.7596850395
Position0,NIR,2.9394872189,0.030116586,15.2119436264,0.6709258556,0.292052567,1.06461811810732E-05,16.5169696808,0.7596776485
